timestamp,Open,High,Low,Close,Volume,Log_Returns,Range_Vol,RSI_14,EMA_20,OBV,ATRr_14
2021-10-14 18:00:00,57230.53,58131.3,56848.84,58072.58,22433.647,0.014606110278970304,0.022083744169795905,76.28116928683262,57685.3285,-50260.09700000001,549.947959253683
2021-10-14 19:00:00,58071.71,58079.86,56800.0,57860.89,21900.825,-0.0036519261481273014,0.022119604451296904,71.46104040972969,57702.048642857146,-72160.922,602.0845335927057
2021-10-14 20:00:00,57860.89,57900.0,57450.0,57459.37,6057.975,-0.006963592044070963,0.007831620847913926,63.291823292156735,57678.936391156465,-78218.89700000001,591.2213526217981
2021-10-14 21:00:00,57459.38,57799.97,57450.0,57787.12,3370.414,0.0056878241340901385,0.006056193836965766,66.64384826596333,57689.23959199871,-74848.48300000001,573.9891131488126
2021-10-14 22:00:00,57787.12,57797.01,57503.29,57620.99,3609.324,-0.00287900243318273,0.00509744799594733,63.4796131113504,57682.73963085598,-78457.807,553.9698907810405
2021-10-14 23:00:00,57621.0,57674.55,57234.17,57378.19,5002.364,-0.004222645079295725,0.007675041683956999,59.065647415429964,57653.73490410779,-83460.171,545.8563271538237
2021-10-15 00:00:00,57377.12,57500.0,57010.78,57092.56,8334.735,-0.004990455514489086,0.00856889233903684,54.283708612958954,57600.28967514514,-91794.906,541.810875214265
2021-10-15 01:00:00,57092.55,57339.7,56900.0,57279.99,7893.718,0.0032775376221829775,0.007676328155783496,56.75769793111427,57569.78494417894,-83901.18800000001,534.5172412703888
2021-10-15 02:00:00,57279.99,59391.12,57120.0,59117.92,52964.481,0.03158274527035561,0.03841677785686646,72.48307972529287,57717.226378066654,-30936.70700000001,658.5602954653612
2021-10-15 03:00:00,59116.13,59500.0,58858.14,59445.04,21894.977,0.005518094859464127,0.010797536682623152,74.2761263171714,57881.78005634602,-9041.73000000001,657.3674172178354
2021-10-15 04:00:00,59445.05,59776.0,59159.93,59646.56,19803.965,0.003384288939621525,0.010328676121472886,75.34209316210652,58049.85433669402,10762.23499999999,654.4176017022758
2021-10-15 05:00:00,59646.56,60100.0,59445.37,59638.88,27093.538,-0.000128766763330285,0.01097656428155588,75.21417424642786,58201.19011415174,-16331.30300000001,654.4327730092559
2021-10-15 06:00:00,59638.88,59779.38,59426.08,59709.73,9844.894,0.0011872783155613006,0.005916958592845682,75.62532327654951,58344.86057947062,-6486.409000000011,632.9232892228802
2021-10-15 07:00:00,59707.63,59740.0,59250.0,59290.78,9151.768,-0.007041175384807385,0.008264354086756829,68.39997411834652,58434.94814333057,-15638.17700000001,622.7144828498173
2021-10-15 08:00:00,59290.79,59488.88,58863.0,59019.05,20445.549,-0.004593540161550101,0.010604711529582353,64.12088639897931,58490.5768915848,-36083.72600000001,622.9405912176873
2021-10-15 09:00:00,59019.05,59400.0,58802.41,59399.99,11396.055,0.006433784871732338,0.01006043940411432,67.2172001809712,58577.187663814824,-24687.67100000001,621.1298347021379
2021-10-15 10:00:00,59399.99,59430.0,58901.92,59319.99,10592.077,-0.001347709325907945,0.008902226719862929,65.9304117676657,58647.930743451514,-35279.74800000001,614.4834179376996
2021-10-15 11:00:00,59319.99,59579.67,59220.63,59550.17,7332.385,0.00387280184863822,0.006029201931749328,67.83819662610641,58733.85829169423,-27947.363000000005,596.2374595135783
2021-10-15 12:00:00,59549.16,59616.09,59211.0,59298.61,8569.604,-0.004233284947098671,0.00683135742979467,63.64372929302396,58787.64416867573,-36516.967000000004,582.5840695483224
2021-10-15 13:00:00,59297.81,60480.0,59249.77,60017.24,29981.395,0.012045988689069326,0.020497943590874944,69.454100525108,58904.748533563754,-6535.572000000004,628.8444931520139
2021-10-15 14:00:00,60017.24,60327.49,59666.0,60096.07,24381.805,0.001312594104983783,0.011007208957257904,70.02011224204014,59018.2077208434,17846.232999999997,631.176315069727
