timestamp,open,high,low,close,volume,RSI_14,EMA_20,ATRr_14,OBV,Log_Returns,Range_Vol,Log_Returns_Scaled,Range_Vol_Scaled,RSI_14_Scaled,OBV_Scaled,Regime
2021-10-20 10:00:00,3872.12,3873.61,3853.11,3857.54,30568.626,56.406965869912895,3842.7152080347814,32.800017360247274,-36767.87300000002,-0.003772486057977125,0.005314267642072409,-0.8218526448317383,-0.8713829495553324,-0.2822316546483894,-1.2828401801119909,2
2021-10-20 11:00:00,3857.54,3871.98,3851.1,3863.89,28758.784,58.08445347479093,3844.7318548886115,31.948587548801047,-8009.089000000022,0.0016447734244935714,0.005403880545253646,0.2594270138824604,-0.8473832508485918,0.041571480709655044,-0.9722112432870027,2
2021-10-20 12:00:00,3863.89,3955.0,3861.22,3936.59,193550.328,71.57201984585214,3853.4802496611246,36.365117009600986,185541.239,0.01864041829420194,0.02382264853591565,3.0322167179887938,2.7277150448067093,1.9624326488279724,0.8570063679831273,2
2021-10-20 13:00:00,3936.59,4013.78,3930.0,4012.86,244524.064,79.15147279357167,3868.659273502922,39.751894366058075,430065.303,0.019189337727385465,0.020877877623440688,2.6592490669378925,1.9601290918389078,2.641523552391352,2.719547699048425,2
2021-10-20 14:00:00,4013.19,4087.9,3998.23,4054.57,322262.047,81.98088623151256,3886.3650569788347,43.317473339911075,752327.3500000001,0.010340435963245326,0.022115785397711734,1.229042745349897,1.9607565811804157,2.582886445005275,3.743332191282857,2
2021-10-20 15:00:00,4054.58,4084.51,4021.0,4083.64,170480.232,83.64666349418667,3905.153146790374,44.759796672774584,922807.582,0.007144107522442769,0.015552301378182264,0.7036758027198577,0.8317578323212009,2.401474999695524,3.487497359412621,2
2021-10-20 16:00:00,4083.77,4120.63,4057.41,4082.93,209917.408,83.44376659847974,3922.084275667481,46.078382624719275,712890.1740000001,-0.00017387960962532108,0.015483978417460074,-0.3915223937856583,0.7675844920537745,2.1199778732432217,2.216104035030963,2
2021-10-20 17:00:00,4082.93,4090.32,4060.0,4081.2,81596.099,82.9160052410794,3937.2381541753402,44.952783865810765,631294.0750000001,-0.000423805114787193,0.007429187493874391,-0.4163316640858512,-0.5342967568320209,1.8659139684772044,1.704282105252283,2
2021-10-20 18:00:00,4081.19,4137.62,4077.83,4125.97,107237.606,85.47608282371415,3955.2126156824506,46.01258501825286,738531.6810000001,0.010910080838998965,0.014491137841525741,1.1923877307176507,0.5799085520827881,1.8924413979732029,1.9182339875964562,2
2021-10-20 19:00:00,4125.98,4143.23,4100.01,4104.62,91308.931,79.36800411567194,3969.44189037936,45.813114659806175,647222.7500000001,-0.005187975075031466,0.01052959835502418,-1.0868935587484116,-0.0003072158158785519,1.2702846396427097,1.4782235410202615,2
2021-10-20 20:00:00,4104.78,4122.4,4072.36,4114.23,90118.068,80.05875657551024,3983.231234152754,46.115035041248554,737340.8180000001,0.0023385277452504885,0.012162664702751066,-0.039410426401199516,0.3482903528678732,1.237359956163102,1.6504298133223851,2
2021-10-20 21:00:00,4114.23,4147.68,4107.0,4121.05,80245.137,80.5562718384191,3996.3568309001107,45.72681825258796,817585.9550000001,0.001656288932278094,0.009871270671309567,-0.18694784363789804,-0.06098523343825315,1.2306170822357543,1.752514217315425,2
2021-10-20 22:00:00,4120.93,4142.63,4096.23,4129.29,63770.264,81.16761767174488,4009.017132719148,45.77490266311743,881356.219,0.001997494100797687,0.011236798577963898,-0.10531036983876396,0.1732627776574735,1.1986191337309822,1.7793595192054532,2
2021-10-20 23:00:00,4129.3,4173.5,4127.28,4164.14,93052.773,83.52672461422465,4023.790739126848,45.806695330037634,974408.9920000001,0.008404292343996525,0.011099530755450166,0.8173536499384599,0.11489824162294682,1.3055026835803503,1.865355970173477,2
2021-10-21 00:00:00,4164.13,4219.65,4139.45,4193.7,168418.41,85.21816622748912,4039.97257349572,48.263359949320645,1142827.402,0.007073627457752076,0.019123923981209868,0.5769489469481587,1.4860192792053712,1.35241599596805,2.0903329004830895,2
2021-10-21 01:00:00,4193.7,4249.0,4174.11,4201.66,167387.611,85.64558717802831,4055.371376019937,50.165262810083476,1310215.013,0.0018962861355037131,0.01782390769362593,-0.1926727732676113,1.1691981857575098,1.2925416737389106,2.2258460238554973,2
2021-10-21 02:00:00,4201.84,4220.75,4150.44,4199.49,184631.14,84.92465792637545,4069.0969592561337,51.60417260936326,1125583.8730000001,-0.0005165959537109046,0.01674250920945172,-0.5681315300447906,0.9142514272141852,1.158296466689042,1.6203390132143234,2
2021-10-21 03:00:00,4199.49,4199.54,4150.0,4190.0,99997.858,81.68627708633814,4080.6115345650733,51.456731708694456,1025586.0150000001,-0.0022623554108018007,0.011823389021479705,-0.802823372653216,0.004677029747039062,0.8255784562782558,1.2867744176054057,2
2021-10-21 04:00:00,4190.06,4202.31,4153.79,4173.63,68007.152,76.28263062872199,4089.4704360350665,51.24696515807346,957578.8630000001,-0.003914573194731302,0.011625371678850409,-1.0140567420518645,0.014936372512606832,0.3429026650975125,1.0610543224571038,2
