Date,Open,High,Low,Close,RSI,ATR,Regime,Position_Size,Portfolio_Value
2025-10-27 00:00:00,114497.9,115129.1,114300.0,114705.0,82.54698230977169,604.790532816365,2,0.0,100.0
2025-10-27 01:00:00,114705.0,115343.1,114650.0,115217.8,84.80803201363007,611.0983519009109,2,0.0,100.0
2025-10-27 02:00:00,115217.7,115407.7,114769.3,114831.1,76.7348781899361,613.048469622274,2,0.0,100.0
2025-10-27 03:00:00,114831.0,115222.6,114781.1,114927.7,77.3157995638137,600.7950075063973,2,0.0,100.0
2025-10-27 04:00:00,114927.8,115254.0,114925.6,115215.5,78.99833456453791,581.33822125594,2,0.0,100.0
2025-10-27 05:00:00,115215.5,115629.4,115215.4,115511.1,80.59072062127754,569.3854911662299,2,0.0,100.0
2025-10-27 06:00:00,115511.1,116098.9,115309.0,116008.8,82.93661148628456,585.1365275114988,0,0.0,100.0
2025-10-27 07:00:00,116008.9,116380.2,115459.4,115522.5,73.57883606181116,609.1124898321063,1,0.0,100.0
2025-10-27 08:00:00,115522.4,115575.1,114860.0,114990.2,64.94139978663097,616.6830262726706,1,0.0,100.0
2025-10-27 09:00:00,114990.1,115334.6,114780.2,115204.7,66.64082760943691,612.2342386817662,0,0.0,100.0
2025-10-27 10:00:00,115204.8,115526.3,115068.0,115411.8,68.24151110828907,601.2389359187831,0,0.0,100.0
2025-10-27 11:00:00,115411.9,115497.0,115063.3,115302.3,66.4266180243044,589.2718690674412,1,0.0,100.0
2025-10-27 12:00:00,115302.3,115385.7,114920.2,115016.4,61.80483471893262,580.4310212769097,1,0.0,100.0
2025-10-27 13:00:00,115016.3,115370.8,114530.7,115210.4,63.652868225650224,598.9788054714166,0,0.0,100.0
2025-10-27 14:00:00,115210.3,115311.3,114433.0,114751.0,56.66148161780037,618.9303193663156,1,0.0013742972277965648,98.80610661606215
2025-10-27 15:00:00,114750.8,115195.5,114717.5,114914.4,58.41119737122387,608.8638679830074,0,0.0,99.30372326887012
2025-10-27 16:00:00,114914.5,115599.9,114818.1,115438.1,63.497798725552805,621.2164488413632,0,0.0013682436246085,100.58968965310493
2025-10-27 17:00:00,115438.1,115700.0,115251.6,115647.4,65.32321312771799,608.8724167812654,0,0.0013682436246085,101.10082194742893
2025-10-27 18:00:00,115647.3,115744.8,115251.9,115277.9,59.651745335643334,600.5886727254614,1,0.0013682436246085,100.17058047193011
2025-10-27 19:00:00,115277.9,115278.1,114712.4,114894.9,54.38130865125587,598.0966246736435,1,0.0,99.7205816044513
2025-10-27 20:00:00,114894.8,114894.8,114349.9,114405.4,48.48513022708568,594.3040086255262,1,-0.001374220447328076,100.87189053082709
2025-10-27 21:00:00,114405.4,114602.6,114067.5,114258.1,46.83936934314911,590.0751508665604,1,-0.001374220447328076,101.22815443335597
